,train,test,column,skipped,model,acc1,acc2,acc3,mean_acc,accuracy
75,electronics,electronics,raw,none,lstm,"0,917","0,927",,"0,922",0.922
76,combined,home,raw,none,lstm,"0,8855",,,"0,8855",0.8855
77,combined,lego,raw,none,lstm,"0,928",,,"0,928",0.928
78,combined,toys,raw,none,lstm,"0,909",,,"0,909",0.909
79,combined,electronics,raw,none,lstm,"0,923",,,"0,923",0.923
80,electronics,home,pos,none,lstm,"0,675","0,677",,"0,676",0.676
81,electronics,lego,pos,none,lstm,"0,78","0,783",,"0,7815",0.7815
82,electronics,toys,pos,none,lstm,"0,711","0,723",,"0,717",0.717
83,electronics,electronics,pos,none,lstm,"0,737","0,741",,"0,739",0.739
84,combined,home,pos,none,lstm,"0,668",,,"0,668",0.668
85,combined,lego,pos,none,lstm,"0,824",,,"0,824",0.824
86,combined,toys,pos,none,lstm,"0,725",,,"0,725",0.725
87,combined,electronics,pos,none,lstm,"0,739",,,"0,739",0.739
88,electronics,home,combined,none,lstm,"0,891","0,891",,"0,891",0.891
89,electronics,lego,combined,none,lstm,"0,928","0,928",,"0,928",0.928
90,electronics,toys,combined,none,lstm,"0,911","0,902",,"0,9065",0.9065
91,electronics,electronics,combined,none,lstm,"0,925","0,924",,"0,9245",0.9245
92,combined,home,combined,none,lstm,"0,885",,,"0,885",0.885
93,combined,lego,combined,none,lstm,"0,936",,,"0,936",0.936
94,combined,toys,combined,none,lstm,"0,908",,,"0,908",0.908
95,combined,electronics,combined,none,lstm,"0,924",,,"0,924",0.924
96,electronics,home,raw,none,gru,"0,903","0,894",,"0,8985",0.8985
97,electronics,lego,raw,none,gru,"0,928","0,928",,"0,928",0.928
98,electronics,toys,raw,none,gru,"0,933","0,914",,"0,9235",0.9235
99,electronics,electronics,raw,none,gru,"0,919","0,926",,"0,9225",0.9225
100,combined,home,raw,none,gru,"0,893",,,"0,893",0.893
101,combined,lego,raw,none,gru,"0,921",,,"0,921",0.921
102,combined,toys,raw,none,gru,"0,918",,,"0,918",0.918
103,combined,electronics,raw,none,gru,"0,928",,,"0,928",0.928
104,electronics,home,pos,none,gru,"0,679","0,694",,"0,6865",0.6865
105,electronics,lego,pos,none,gru,"0,827","0,806",,"0,8165",0.8165
106,electronics,toys,pos,none,gru,"0,739","0,748",,"0,7435",0.7435
107,electronics,electronics,pos,none,gru,"0,755","0,758",,"0,7565",0.7565
108,combined,home,pos,none,gru,"0,692",,,"0,692",0.692
109,combined,lego,pos,none,gru,"0,794",,,"0,794",0.794
110,combined,toys,pos,none,gru,"0,745",,,"0,745",0.745
111,combined,electronics,pos,none,gru,"0,768",,,"0,768",0.768
112,electronics,home,combined,none,gru,"0,899","0,9",,"0,8995",0.8995
113,electronics,lego,combined,none,gru,"0,927","0,934",,"0,9305",0.9305
114,electronics,toys,combined,none,gru,"0,913","0,913",,"0,913",0.913
115,electronics,electronics,combined,none,gru,"0,929","0,922",,"0,9255",0.9255
116,combined,home,combined,none,gru,"0,894",,,"0,894",0.894
117,combined,lego,combined,none,gru,"0,931",,,"0,931",0.931
118,combined,toys,combined,none,gru,"0,922",,,"0,922",0.922
119,combined,electronics,combined,none,gru,"0,928",,,"0,928",0.928
120,electronics,home,raw,ADJ,cnn,"0,87","0,867","0,875","0,8706666667",0.8706666667
121,electronics,lego,raw,ADJ,cnn,"0,885","0,842","0,879","0,8686666667",0.8686666667
