train,test,column1,column2,skip1,skip2,model1,model2,acc1,acc2,mean_acc,compl_acc,conf,cer1,cer2,c_cer1,c_cer2,i_cer1,i_cer2,both_correct,1correct,2correct,none
electronics,home,combined,pos,,,gru,gru,0.915252,0.725,0.90575,0.915,0.15,0.4278,0.2349,0.4439,0.2567,0.2539,0.1777,0.687,0.22825,0.038,0.04675
electronics,toys,combined,pos,,,gru,gru,0.91925,0.73675,0.91425,0.91525,0.15,0.4266,0.2479,0.4414,0.272,0.2575,0.1804,0.69675,0.2225,0.04,0.04075
electronics,lego,combined,pos,,,gru,gru,0.9211,0.7767,0.9211,0.92476,0.15,0.4213,0.2599,0.4379,0.2798,0.2271,0.1906,0.7427,0.1784,0.03398,0.0449
electronics,elec,combined,pos,,,gru,gru,0.93925,0.767,0.931,0.9365,0.15,0.4431,0.26496,0.45437,0.2894,0.2682,0.1844,0.74175,0.1975,0.02525,0.0355
electronics,home,combined,raw,,,lstm,lstm,0.91275,0.89975,0.91775,0.9165,0.15,0.435,0.4089,0.4516,0.4265,0.2618,0.25,0.874,0.03875,0.02575,0.0615
electronics,toys,combined,raw,,,lstm,lstm,0.91425,0.9055,0.92025,0.92025,0.15,0.4395,0.4112,0.4552,0.4283,0.2712,0.2474,0.877,0.03725,0.0285,0.05725
electronics,lego,combined,raw,,,lstm,lstm,0.9272,0.8859,0.9187,0.9235,0.15,0.4353,0.4044,0.4476,0.4308,0.2775,0.1996,0.8629,0.0643,0.023,0.0498
electronics,elec,combined,raw,,,lstm,lstm,0.935,0.92725,0.93425,0.93425,0.15,0.451,0.4274,0.4634,0.4404,0.273,0.2615,0.91,0.025,0.01725,0.04775
electronics,home,raw,combined,,,lstm,lstm,0.90175,0.90675,0.9085,0.91,0.15,0.4063,0.4189,0.425,0.4327,0.2353,0.284,0.873,0.02875,0.03375,0.0645
electronics,toys,raw,combined,,,lstm,lstm,0.911,0.9085,0.9175,0.91875,0.15,0.4074,0.4205,0.4244,0.4367,0.2332,0.2591,0.88,0.031,0.0285,0.0605
electronics,lego,raw,combined,,,lstm,lstm,0.9223,0.8823,0.9235,0.8908,0.15,0.401,0.4029,0.4143,0.4319,0.24035,0.18544,0.85437,0.06796,0.02791,0.04976
electronics,elec,raw,combined,,,lstm,lstm,0.92775,0.92175,0.93325,0.93025,0.15,0.4268,0.4343,0.44099,0.44926,0.2449,0.2584,0.90125,0.0265,0.0205,0.05175
electronics,home,raw,pos,,,lstm,lstm,0.90675,0.70025,0.89925,0.9045,0.15,0.41167,0.20788,0.427,0.228,0.2646,0.16041,0.66,0.24675,0.0425,0.053
electronics,toys,raw,pos,,,lstm,lstm,0.90975,0.73325,0.9065,0.905,0.15,0.41726,0.2199,0.4326,0.2422,0.2626,0.1584,0.69175,0.218,0.0415,0.04875
electronics,lego,raw,pos,,,lstm,lstm,0.9163,0.808,0.9199,0.9211,0.15,0.39982,0.2462,0.4138,0.2621,0.247,0.1791,0.7597,0.15655,0.04854,0.0352
electronics,elec,raw,pos,,,lstm,lstm,0.92375,0.768,0.92425,0.923,0.15,0.43,0.2293,0.444,0.2495,0.2552,0.1623,0.73125,0.1925,0.03675,0.0395
electronics,home,combined,pos,,,lstm,lstm,0.89275,0.70725,0.8805,0.8865,0.15,0.40226,0.1902,0.421177,0.2054,0.24486,0.1534,0.66375,0.229,0.0435,0.06375
electronics,toys,combined,pos,,,lstm,lstm,0.903,0.73675,0.8975,0.89325,0.15,0.4049,0.19885,0.4227,0.2187,0.23898,0.1432,0.69775,0.20525,0.039,0.058
electronics,lego,combined,pos,,,lstm,lstm,0.9138,0.8131,0.9223,0.9187,0.15,0.40395,0.2246,0.42128,0.2365,0.2202,0.17293,0.7718,0.14199,0.04126,0.0449
electronics,elec,combined,pos,,,lstm,lstm,0.92175,0.761,0.9165,0.91575,0.15,0.4224,0.2091,0.43776,0.2279,0.2418,0.1493,0.73075,0.191,0.03025,0.048
electronics,home,combined,raw,,,cnn_gru,cnn_gru,0.921,0.91975,0.9255,0.9235,0.05,0.4106,0.41469,0.4262,0.4307,0.22286,0.2314,0.89375,0.02725,0.026,0.053
electronics,toys,combined,raw,,,cnn_gru,cnn_gru,0.92475,0.92325,0.93275,0.92725,0.05,0.40998,0.4204,0.4251,0.4371,0.224,0.2195,0.89625,0.0285,0.027,0.04825
electronics,lego,combined,raw,,,cnn_gru,cnn_gru,0.9102,0.9248,0.9199,0.9126,0.05,0.4063,0.4215,0.4218,0.4364,0.2492,0.2386,0.8944,0.0158,0.0303,0.05947
electronics,elec,combined,raw,,,cnn_gru,cnn_gru,0.9335,0.9435,0.9425,0.937,0.05,0.4279,0.43506,0.4423,0.446,0.225,0.2517,0.91875,0.01475,0.02475,0.04175
electronics,home,combined,raw,,,cnn_gru,cnn_gru,0.921,0.91975,0.9255,0.9235,0.1,0.4106,0.41469,0.4262,0.4307,0.22286,0.2314,0.89375,0.02725,0.026,0.053
electronics,toys,combined,raw,,,cnn_gru,cnn_gru,0.92475,0.92325,0.93275,0.92925,0.1,0.40998,0.4204,0.4251,0.4371,0.224,0.2195,0.89625,0.0285,0.027,0.04825
electronics,lego,combined,raw,,,cnn_gru,cnn_gru,0.9102,0.9248,0.9199,0.9162,0.1,0.4063,0.4215,0.4218,0.4364,0.2492,0.2386,0.8944,0.0158,0.0303,0.05947
electronics,elec,combined,raw,,,cnn_gru,cnn_gru,0.9335,0.9435,0.9425,0.94175,0.1,0.4279,0.43506,0.4423,0.446,0.225,0.2517,0.91875,0.01475,0.02475,0.04175
electronics,home,combined,raw,,,cnn_gru,cnn_gru,0.921,0.91975,0.9255,0.92175,0.15,0.4106,0.41469,0.4262,0.4307,0.22286,0.2314,0.89375,0.02725,0.026,0.053
electronics,toys,combined,raw,,,cnn_gru,cnn_gru,0.92475,0.92325,0.93275,0.929,0.15,0.40998,0.4204,0.4251,0.4371,0.224,0.2195,0.89625,0.0285,0.027,0.04825
electronics,lego,combined,raw,,,cnn_gru,cnn_gru,0.9102,0.9248,0.9199,0.9187,0.15,0.4063,0.4215,0.4218,0.4364,0.2492,0.2386,0.8944,0.0158,0.0303,0.05947
electronics,elec,combined,raw,,,cnn_gru,cnn_gru,0.9335,0.9435,0.9425,0.9435,0.15,0.4279,0.43506,0.4423,0.446,0.225,0.2517,0.91875,0.01475,0.02475,0.04175
electronics,home,combined,raw,,,cnn_gru,cnn_gru,0.921,0.91975,0.9255,0.92325,0.2,0.4106,0.41469,0.4262,0.4307,0.22286,0.2314,0.89375,0.02725,0.026,0.053
electronics,toys,combined,raw,,,cnn_gru,cnn_gru,0.92475,0.92325,0.93275,0.92825,0.2,0.40998,0.4204,0.4251,0.4371,0.224,0.2195,0.89625,0.0285,0.027,0.04825
electronics,lego,combined,raw,,,cnn_gru,cnn_gru,0.9102,0.9248,0.9199,0.9223,0.2,0.4063,0.4215,0.4218,0.4364,0.2492,0.2386,0.8944,0.0158,0.0303,0.05947
electronics,elec,combined,raw,,,cnn_gru,cnn_gru,0.9335,0.9435,0.9425,0.944,0.2,0.4279,0.43506,0.4423,0.446,0.225,0.2517,0.91875,0.01475,0.02475,0.04175
electronics,home,combined,raw,,,cnn_gru,cnn_gru,0.921,0.91975,0.9255,0.92275,0.25,0.4106,0.41469,0.4262,0.4307,0.22286,0.2314,0.89375,0.02725,0.026,0.053
electronics,toys,combined,raw,,,cnn_gru,cnn_gru,0.92475,0.92325,0.93275,0.92925,0.25,0.40998,0.4204,0.4251,0.4371,0.224,0.2195,0.89625,0.0285,0.027,0.04825
electronics,lego,combined,raw,,,cnn_gru,cnn_gru,0.9102,0.9248,0.9199,0.9199,0.25,0.4063,0.4215,0.4218,0.4364,0.2492,0.2386,0.8944,0.0158,0.0303,0.05947
electronics,elec,combined,raw,,,cnn_gru,cnn_gru,0.9335,0.9435,0.9425,0.944,0.25,0.4279,0.43506,0.4423,0.446,0.225,0.2517,0.91875,0.01475,0.02475,0.04175
electronics,home,combined,raw,,,cnn_gru,cnn_gru,0.921,0.91975,0.9255,0.922,0.3,0.4106,0.41469,0.4262,0.4307,0.22286,0.2314,0.89375,0.02725,0.026,0.053
electronics,toys,combined,raw,,,cnn_gru,cnn_gru,0.92475,0.92325,0.93275,0.92725,0.3,0.40998,0.4204,0.4251,0.4371,0.224,0.2195,0.89625,0.0285,0.027,0.04825
electronics,lego,combined,raw,,,cnn_gru,cnn_gru,0.9102,0.9248,0.9199,0.9223,0.3,0.4063,0.4215,0.4218,0.4364,0.2492,0.2386,0.8944,0.0158,0.0303,0.05947
electronics,elec,combined,raw,,,cnn_gru,cnn_gru,0.9335,0.9435,0.9425,0.943,0.3,0.4279,0.43506,0.4423,0.446,0.225,0.2517,0.91875,0.01475,0.02475,0.04175
